PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
BE01;PARTY;8.9;OFFICIAL;2019-06-14 10:07
BE02;PARTY;7.57;OFFICIAL;2019-06-14 10:07
BE03;PARTY;13.73;OFFICIAL;2019-06-14 10:07
BE04;PARTY;6.25;OFFICIAL;2019-06-14 10:07
BE05;PARTY;11.68;OFFICIAL;2019-06-14 10:07
BE06;PARTY;9.76;OFFICIAL;2019-06-14 10:07
BE07;PARTY;3.03;OFFICIAL;2019-06-14 10:07
BE08;PARTY;10.19;OFFICIAL;2019-06-14 10:07
BE09;PARTY;7.36;OFFICIAL;2019-06-14 10:07
BE10;PARTY;3.41;OFFICIAL;2019-06-14 10:07
BE11;PARTY;7.6;OFFICIAL;2019-06-14 10:07
BE12;PARTY;5.57;OFFICIAL;2019-06-14 10:07
BE13;PARTY;2.26;OFFICIAL;2019-06-14 10:07
BE14;PARTY;1.78;OFFICIAL;2019-06-14 10:07
BE15;PARTY;0.22;OFFICIAL;2019-06-14 10:07
BE16;PARTY;0.07;OFFICIAL;2019-06-14 10:07
BE17;PARTY;0.07;OFFICIAL;2019-06-14 10:07
BE18;PARTY;0.08;OFFICIAL;2019-06-14 10:07
BE19;PARTY;0.1;OFFICIAL;2019-06-14 10:07
BE90;PARTY;0.29;OFFICIAL;2019-06-14 10:07
BE91;PARTY;0.0;OFFICIAL;2019-06-14 10:07
BE92;PARTY;0.08;OFFICIAL;2019-06-14 10:07
