PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;21.48;OFFICIAL;2019-09-25 18:12
DK02;PARTY;10.07;OFFICIAL;2019-09-25 18:12
DK03;PARTY;6.18;OFFICIAL;2019-09-25 18:12
DK04;PARTY;13.23;OFFICIAL;2019-09-25 18:12
DK05;PARTY;2.2;OFFICIAL;2019-09-25 18:12
DK06;PARTY;3.7;OFFICIAL;2019-09-25 18:12
DK07;PARTY;10.76;OFFICIAL;2019-09-25 18:12
DK08;PARTY;23.5;OFFICIAL;2019-09-25 18:12
DK09;PARTY;5.51;OFFICIAL;2019-09-25 18:12
DK10;PARTY;3.37;OFFICIAL;2019-09-25 18:12
DK90;PARTY;0.0;OFFICIAL;2019-09-25 18:12
