PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
ES01;PARTY;33.18;OFFICIAL;2019-09-25 18:12
ES02;PARTY;20.35;OFFICIAL;2019-09-25 18:12
ES03;PARTY;10.17;OFFICIAL;2019-09-25 18:12
ES04;PARTY;2.85;OFFICIAL;2019-09-25 18:12
ES05;PARTY;12.3;OFFICIAL;2019-09-25 18:12
ES06;PARTY;4.59;OFFICIAL;2019-09-25 18:12
ES07;PARTY;6.28;OFFICIAL;2019-09-25 18:12
ES08;PARTY;5.64;OFFICIAL;2019-09-25 18:12
ES09;PARTY;1.33;OFFICIAL;2019-09-25 18:12
ES10;PARTY;1.33;OFFICIAL;2019-09-25 18:12
ES90;PARTY;1.98;OFFICIAL;2019-09-25 18:12
