PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
FI01;PARTY;13.5;OFFICIAL;2019-09-25 18:12
FI02;PARTY;20.8;OFFICIAL;2019-09-25 18:12
FI03;PARTY;14.6;OFFICIAL;2019-09-25 18:12
FI04;PARTY;6.9;OFFICIAL;2019-09-25 18:12
FI05;PARTY;16.0;OFFICIAL;2019-09-25 18:12
FI06;PARTY;6.3;OFFICIAL;2019-09-25 18:12
FI07;PARTY;13.8;OFFICIAL;2019-09-25 18:12
FI08;PARTY;4.9;OFFICIAL;2019-09-25 18:12
FI09;PARTY;0.3;OFFICIAL;2019-09-25 18:12
FI10;PARTY;0.7;OFFICIAL;2019-09-25 18:12
FI90;PARTY;2.2;OFFICIAL;2019-09-25 18:12
