PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
HR01;PARTY;22.72;OFFICIAL;2019-09-25 18:12
HR02;PARTY;18.71;OFFICIAL;2019-09-25 18:12
HR03;PARTY;2.6;OFFICIAL;2019-09-25 18:12
HR04;PARTY;4.67;OFFICIAL;2019-09-25 18:12
HR05;PARTY;1.4;OFFICIAL;2019-09-25 18:12
HR06;PARTY;5.66;OFFICIAL;2019-09-25 18:12
HR07;PARTY;1.97;OFFICIAL;2019-09-25 18:12
HR08;PARTY;4.37;OFFICIAL;2019-09-25 18:12
HR09;PARTY;2.02;OFFICIAL;2019-09-25 18:12
HR10;PARTY;8.52;OFFICIAL;2019-09-25 18:12
HR11;PARTY;5.19;OFFICIAL;2019-09-25 18:12
HR12;PARTY;1.79;OFFICIAL;2019-09-25 18:12
HR13;PARTY;7.89;OFFICIAL;2019-09-25 18:12
HR14;PARTY;4.4;OFFICIAL;2019-09-25 18:12
HR90;PARTY;8.09;OFFICIAL;2019-09-25 18:12
