PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
NL01;PARTY;12.18;OFFICIAL;2019-09-25 18:12
NL02;PARTY;19.01;OFFICIAL;2019-09-25 18:12
NL03;PARTY;3.37;OFFICIAL;2019-09-25 18:12
NL04;PARTY;14.64;OFFICIAL;2019-09-25 18:12
NL05;PARTY;10.9;OFFICIAL;2019-09-25 18:12
NL06;PARTY;3.53;OFFICIAL;2019-09-25 18:12
NL07;PARTY;7.09;OFFICIAL;2019-09-25 18:12
NL08;PARTY;4.02;OFFICIAL;2019-09-25 18:12
NL09;PARTY;6.83;OFFICIAL;2019-09-25 18:12
NL10;PARTY;3.91;OFFICIAL;2019-09-25 18:12
NL11;PARTY;1.1;OFFICIAL;2019-09-25 18:12
NL12;PARTY;10.96;OFFICIAL;2019-09-25 18:12
NL13;PARTY;1.93;OFFICIAL;2019-09-25 18:12
NL90;PARTY;0.53;OFFICIAL;2019-09-25 18:12
