PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
SI01;PARTY;26.25;OFFICIAL;2019-09-25 18:12
SI02;PARTY;18.66;OFFICIAL;2019-09-25 18:12
SI03;PARTY;5.67;OFFICIAL;2019-09-25 18:12
SI04;PARTY;11.12;OFFICIAL;2019-09-25 18:12
SI05;PARTY;4.01;OFFICIAL;2019-09-25 18:12
SI06;PARTY;1.62;OFFICIAL;2019-09-25 18:12
SI07;PARTY;4.02;OFFICIAL;2019-09-25 18:12
SI08;PARTY;6.43;OFFICIAL;2019-09-25 18:12
SI09;PARTY;15.44;OFFICIAL;2019-09-25 18:12
SI10;PARTY;1.7;OFFICIAL;2019-09-25 18:12
SI11;PARTY;1.66;OFFICIAL;2019-09-25 18:12
SI12;PARTY;0.52;OFFICIAL;2019-09-25 18:12
SI13;PARTY;0.68;OFFICIAL;2019-09-25 18:12
SI14;PARTY;2.22;OFFICIAL;2019-09-25 18:12
SI90;PARTY;0.0;OFFICIAL;2019-09-25 18:12
