PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
SK01;PARTY;9.69;OFFICIAL;2019-09-25 18:12
SK02;PARTY;9.62;OFFICIAL;2019-09-25 18:12
SK03;PARTY;4.09;OFFICIAL;2019-09-25 18:12
SK04;PARTY;15.72;OFFICIAL;2019-09-25 18:12
SK05;PARTY;4.96;OFFICIAL;2019-09-25 18:12
SK06;PARTY;5.25;OFFICIAL;2019-09-25 18:12
SK07;PARTY;2.59;OFFICIAL;2019-09-25 18:12
SK08;PARTY;12.07;OFFICIAL;2019-09-25 18:12
SK09;PARTY;3.23;OFFICIAL;2019-09-25 18:12
SK10;PARTY;20.11;OFFICIAL;2019-09-25 18:12
SK11;PARTY;3.85;OFFICIAL;2019-09-25 18:12
SK12;PARTY;2.06;OFFICIAL;2019-09-25 18:12
SK90;PARTY;6.76;OFFICIAL;2019-09-25 18:12
