PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;0.59;OFFICIAL;2019-10-22 11:30
UK02;PARTY;0.6;OFFICIAL;2019-10-22 11:30
UK03;PARTY;0.25;OFFICIAL;2019-10-22 11:30
UK04;PARTY;0.37;OFFICIAL;2019-10-22 11:30
UK05;PARTY;0.3;OFFICIAL;2019-10-22 11:30
UK06;PARTY;0.51;OFFICIAL;2019-10-22 11:30
UK07;PARTY;8.86;OFFICIAL;2019-10-22 11:30
UK08;PARTY;13.74;OFFICIAL;2019-10-22 11:30
UK09;PARTY;3.22;OFFICIAL;2019-10-22 11:30
UK10;PARTY;3.51;OFFICIAL;2019-10-22 11:30
UK11;PARTY;0.97;OFFICIAL;2019-10-22 11:30
UK12;PARTY;19.78;OFFICIAL;2019-10-22 11:30
UK13;PARTY;11.78;OFFICIAL;2019-10-22 11:30
UK14;PARTY;3.31;OFFICIAL;2019-10-22 11:30
UK15;PARTY;30.79;OFFICIAL;2019-10-22 11:30
UK90;PARTY;0.1;OFFICIAL;2019-10-22 11:30
UK91;PARTY;1.48;OFFICIAL;2019-10-22 11:30
