PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
BE01;PARTY;2;EPP;CONSTITUTIVE;2019-07-02 10:00
BE02;PARTY;1;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
BE03;PARTY;3;ECR;CONSTITUTIVE;2019-07-02 10:00
BE04;PARTY;1;SD;CONSTITUTIVE;2019-07-02 10:00
BE05;PARTY;3;ENF;CONSTITUTIVE;2019-07-02 10:00
BE06;PARTY;2;ALDE;CONSTITUTIVE;2019-07-02 10:00
BE08;PARTY;2;SD;CONSTITUTIVE;2019-07-02 10:00
BE09;PARTY;2;ALDE;CONSTITUTIVE;2019-07-02 10:00
BE10;PARTY;1;EPP;CONSTITUTIVE;2019-07-02 10:00
BE11;PARTY;2;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
BE12;PARTY;1;GUENGL;CONSTITUTIVE;2019-07-02 10:00
BE15;PARTY;1;EPP;CONSTITUTIVE;2019-07-02 10:00
