PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
ES01;PARTY;20;SD;CONSTITUTIVE;2019-07-02 10:00
ES02;PARTY;12;EPP;CONSTITUTIVE;2019-07-02 10:00
ES03;PARTY;5;GUENGL;CONSTITUTIVE;2019-07-02 10:00
ES03;PARTY;1;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
ES04;PARTY;1;ALDE;CONSTITUTIVE;2019-07-02 10:00
ES05;PARTY;7;ALDE;CONSTITUTIVE;2019-07-02 10:00
ES06;PARTY;2;NA;CONSTITUTIVE;2019-07-02 10:00
ES07;PARTY;3;ECR;CONSTITUTIVE;2019-07-02 10:00
ES08;PARTY;1;GUENGL;CONSTITUTIVE;2019-07-02 10:00
ES08;PARTY;1;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
ES08;PARTY;1;NA;CONSTITUTIVE;2019-07-02 10:00
