PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
NL01;PARTY;4;EPP;CONSTITUTIVE;2019-07-02 10:00
NL02;PARTY;6;SD;CONSTITUTIVE;2019-07-02 10:00
NL04;PARTY;4;ALDE;CONSTITUTIVE;2019-07-02 10:00
NL05;PARTY;3;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
NL07;PARTY;2;ALDE;CONSTITUTIVE;2019-07-02 10:00
NL08;PARTY;1;GUENGL;CONSTITUTIVE;2019-07-02 10:00
NL09;PARTY;1;EPP;CONSTITUTIVE;2019-07-02 10:00
NL09;PARTY;1;ECR;CONSTITUTIVE;2019-07-02 10:00
NL10;PARTY;1;EPP;CONSTITUTIVE;2019-07-02 10:00
NL12;PARTY;3;ECR;CONSTITUTIVE;2019-07-02 10:00
