PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;1;GUENGL;CONSTITUTIVE;2019-07-02 10:00
UK02;PARTY;1;NA;CONSTITUTIVE;2019-07-02 10:00
UK06;PARTY;1;ALDE;CONSTITUTIVE;2019-07-02 10:00
UK07;PARTY;4;ECR;CONSTITUTIVE;2019-07-02 10:00
UK08;PARTY;10;SD;CONSTITUTIVE;2019-07-02 10:00
UK10;PARTY;3;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
UK11;PARTY;1;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
UK12;PARTY;16;ALDE;CONSTITUTIVE;2019-07-02 10:00
UK13;PARTY;7;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
UK15;PARTY;29;NA;CONSTITUTIVE;2019-07-02 10:00
