PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
CZ01;PARTY;14.54;OFFICIAL;2019-09-25 18:12
CZ02;PARTY;3.95;OFFICIAL;2019-09-25 18:12
CZ03;PARTY;6.94;OFFICIAL;2019-09-25 18:12
CZ04;PARTY;7.24;OFFICIAL;2019-09-25 18:12
CZ05;PARTY;11.65;OFFICIAL;2019-09-25 18:12
CZ06;PARTY;21.18;OFFICIAL;2019-09-25 18:12
CZ07;PARTY;13.95;OFFICIAL;2019-09-25 18:12
CZ08;PARTY;9.14;OFFICIAL;2019-09-25 18:12
CZ09;PARTY;2.38;OFFICIAL;2019-09-25 18:12
CZ10;PARTY;1.56;OFFICIAL;2019-09-25 18:12
CZ11;PARTY;0.82;OFFICIAL;2019-09-25 18:12
CZ12;PARTY;0.78;OFFICIAL;2019-09-25 18:12
CZ90;PARTY;5.87;OFFICIAL;2019-09-25 18:12
