PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
FR01;PARTY;6.31;OFFICIAL;2019-09-25 18:12
FR02;PARTY;6.19;OFFICIAL;2019-09-25 18:12
FR03;PARTY;13.47;OFFICIAL;2019-09-25 18:12
FR04;PARTY;8.48;OFFICIAL;2019-09-25 18:12
FR05;PARTY;23.34;OFFICIAL;2019-09-25 18:12
FR06;PARTY;3.51;OFFICIAL;2019-09-25 18:12
FR07;PARTY;22.42;OFFICIAL;2019-09-25 18:12
FR08;PARTY;2.49;OFFICIAL;2019-09-25 18:12
FR09;PARTY;2.5;OFFICIAL;2019-09-25 18:12
FR10;PARTY;3.27;OFFICIAL;2019-09-25 18:12
FR90;PARTY;8.02;OFFICIAL;2019-09-25 18:12
