PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LV01;PARTY;26.24;OFFICIAL;2019-09-25 18:12
LV02;PARTY;16.4;OFFICIAL;2019-09-25 18:12
LV03;PARTY;17.45;OFFICIAL;2019-09-25 18:12
LV04;PARTY;5.34;OFFICIAL;2019-09-25 18:12
LV05;PARTY;4.98;OFFICIAL;2019-09-25 18:12
LV06;PARTY;0.92;OFFICIAL;2019-09-25 18:12
LV07;PARTY;4.35;OFFICIAL;2019-09-25 18:12
LV08;PARTY;12.42;OFFICIAL;2019-09-25 18:12
LV09;PARTY;6.24;OFFICIAL;2019-09-25 18:12
LV10;PARTY;0.17;OFFICIAL;2019-09-25 18:12
LV11;PARTY;2.9;OFFICIAL;2019-09-25 18:12
LV12;PARTY;0.19;OFFICIAL;2019-09-25 18:12
LV13;PARTY;0.67;OFFICIAL;2019-09-25 18:12
LV14;PARTY;0.18;OFFICIAL;2019-09-25 18:12
LV15;PARTY;0.49;OFFICIAL;2019-09-25 18:12
LV16;PARTY;0.47;OFFICIAL;2019-09-25 18:12
LV90;PARTY;0.59;OFFICIAL;2019-09-25 18:12
