PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LT01;PARTY;8.99;OFFICIAL;2019-06-03 11:52
LT02;PARTY;5.5;OFFICIAL;2019-06-03 11:52
LT03;PARTY;6.59;OFFICIAL;2019-06-03 11:52
LT04;PARTY;15.88;OFFICIAL;2019-06-03 11:52
LT05;PARTY;12.56;OFFICIAL;2019-06-03 11:52
LT06;PARTY;2.73;OFFICIAL;2019-06-03 11:52
LT07;PARTY;19.74;OFFICIAL;2019-06-03 11:52
LT08;PARTY;5.13;OFFICIAL;2019-06-03 11:52
LT09;PARTY;2.36;OFFICIAL;2019-06-03 11:52
LT10;PARTY;2.27;OFFICIAL;2019-06-03 11:52
LT11;PARTY;1.92;OFFICIAL;2019-06-03 11:52
LT12;PARTY;6.51;OFFICIAL;2019-06-03 11:52
LT13;PARTY;4.0;OFFICIAL;2019-06-03 11:52
LT14;PARTY;3.35;OFFICIAL;2019-06-03 11:52
LT90;PARTY;2.47;OFFICIAL;2019-06-03 11:52
